REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
255168,2018-06-03T15:30:00,Traffic,Website,1,Police - Zones 1-6,Middle Hill,6,5,42003050100,3,5,2,2-1,-79.9770731,40.4458214,EXACT
170383,2017-07-17T08:59:00,Rodent control,Call Center,1,Animal Care & Control,Arlington,3,16,42003561600,3,16,3,4-8,-79.9637333945589,40.4123272220781,APPROXIMATE
119243,2016-12-05T15:10:00,Sinkhole,Website,1,DPW - Street Maintenance,Highland Park,7,11,42003110200,2,11,5,3-9,-79.9249717220902,40.4711203538403,EXACT
331657,2019-04-10T15:02:00,Litter,Call Center,1,DPW - Street Maintenance,Troy Hill,1,24,42003240600,1,24,1,1-1,-79.979739,40.465064,EXACT
150138,2017-05-02T16:39:00,Other (please describe),Website,1,Animal Care & Control,Beechview,4,19,42003191600,5,19,6,4-28,-80.0278833348906,40.4120454198598,APPROXIMATE
280700,2018-08-15T16:07:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Highland Park,7,11,42003110200,2,11,5,3-9,-79.9241745,40.4723366,EXACT
379073,2019-09-03T09:15:00,Potholes,Call Center,3,DPW - Street Maintenance,Regent Square,5,14,42003141000,3,14,4,2-16,-79.8989764,40.4290766,EXACT
9296,2015-06-16T11:26:00,Missed Pick Up,Call Center,1,DPW - Refuse,Crafton Heights,2,28,42003281500,5,28,6,1-17,-80.0496606311367,40.4405670321778,APPROXIMATE
34735,2015-11-19T12:00:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Bloomfield,7,8,42003080200,2,8,5,3-1,-79.9516446,40.462476,EXACT
324161,2019-03-08T15:38:00,Overgrowth,Call Center,3,DPW - Street Maintenance,Bon Air,4,18,42003562400,5,18,3,4-7,-79.9988736,40.4093795,EXACT
50922,2016-02-29T09:27:00,Weeds/Debris,Website,1,"Permits, Licenses and Inspections",Central Oakland,3,4,42003040500,3,4,4,2-14,-79.955617,40.438014,EXACT
345290,2019-05-28T16:01:00,Landslide,Call Center,0,DOMI - Construction,Elliott,2,20,42003562600,5,20,6,1-17,-80.0328759,40.444458,EXACT
295261,2018-10-12T12:27:00,"Traffic or Pedestrian Signal, Repair",Twitter,1,DOMI - TrafficShop,South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9820347,40.4288496,EXACT
